,acisw_003,,,bresee_000,,intellifusion_002,,,shaman_000,,,yitu_003,
,0.0035,0.0002,,0.0029,0.0001,0.0034,0.0001,,0.0052,0.0003,,0.0047,0.0002
0.0009,0.0042,,0.0006,0.0036,,0.0005 0.0038,,0.0007,0.0036,,0.0005,0.0045,
0.0197,0.0008,,0.0203,0.0006,,0.0203 0.0005,,0.0208,0.0007,,0.0211,0.0005,
,mobai_000,,,geo_000,,kakao_002,,,amplifiedgroup_001,,,synesis_006,
,0.0003,0.0010,,0.0002,0.0010,0.0002,0.0010,,0.0028,0.0010,,0.0003,0.0010
,0.0072,0.0002,,0.0030,0.0002,0.0041,0.0002,,0.1087,0.0017,,0.0054,0.0003
0.0005,0.0046,,0.0011,0.0048,,0.0004 0.0023,,0.0003,0.0036,,0.0006,0.0020,
0.0216,0.0004,,0.0218,0.0011,,0.0219 0.0004,,0.0221,0.0003,,0.0227,0.0007,
,saffe_001,,,luxand_000,,cyberextruder_001,,,mt_002,,,antheus_001,
,0.0008,0.0010,,0.0003,0.0010,0.0005,0.0010,,0.0002,0.0010,,0.0005,0.0010
,0.0213,0.0007,,0.0065,0.0003,0.0132,0.0004,,0.0047,0.0002,,0.0136,0.0005
0.0004,0.0013,,0.0005,0.0024,,0.0004 0.0024,,0.0005,0.0033,,0.0005,0.0034,
0.0233,0.0004,,0.0238,0.0005,,0.0240 0.0005,,0.0245,0.0004,,0.0247,0.0005,
,scanovate_002,,,tiger_002,,kakao_003,,,antheus_000,,,intsysmsu_002,
,0.0002,0.0010,,0.0003,0.0010,0.0002,0.0010,,0.0006,0.0010,,0.0004,0.0010
,0.0043,0.0002,,0.0058,0.0003,0.0038,0.0002,,0.0155,0.0005,,0.0088,0.0003
0.0008,0.0038,,0.0007,0.0022,,0.0006 0.0020,,0.0006,0.0028,,0.0010,0.0053,
0.0248,0.0007,,0.0259,0.0007,,0.0265 0.0005,,0.0272,0.0005,,0.0287,0.0010,
,upc_001,,,netbridgetech_001,,aware_005,,,ayonix_000,,,veridas_003,
,0.0002,0.0010,,0.0003,0.0010,0.0004,0.0010,,0.0004,0.0010,,0.0002,0.0010
,0.0057,0.0002,,0.0049,0.0002,0.0138,0.0003,,0.0149,0.0004,,0.0042,0.0002
0.0006,0.0039,,0.0009,0.0038,,0.0007 0.0049,,0.0005,0.0023,,0.0007,0.0045,
0.0290,0.0006,,0.0315,0.0008,,0.0330 0.0007,,0.0347,0.0005,,0.0350,0.0006,
,visteam_000,,,aware_004,,megvii_001,,,fiberhome−nanjing_002,,,yisheng_004,
,0.0019,0.0010,,0.0005,0.0010,0.0004,0.0010,,0.0015,0.0010,,0.0004,0.0010
,0.0597,0.0013,,0.0149,0.0004,0.0127,0.0003,,0.0467,0.0011,,0.0109,0.0003
0.0006,0.0012,,0.0008,0.0036,,0.0009 0.0086,,0.0015,0.0061,,0.0014,0.0082,
0.0384,0.0006,,0.0402,0.0007,,0.0464 0.0008,,0.0708,0.0013,,0.0779,0.0013,
,videonetics_002,,,iws_000,,videonetics_001,,,isap_001,,,intsysmsu_001,
,0.0024,0.0010,,0.0041,0.0010,0.0038,0.0010,,0.0005,0.0010,,0.0184,0.0010
,0.0922,0.0015,,0.1587,0.0026,0.1433,0.0025,,0.0154,0.0004,,0.4985,0.0107
0.0012,0.0060,,0.0012,0.0029,,0.0012 0.0040,,0.0014,0.0024,,0.0056,0.0037,
0.0789,0.0010,,0.0892,0.0010,,0.0903 0.0010,,0.0968,0.0013,,0.4175,0.0040,
